name,player_type,steam_id,reason,banned_time,release,complaint_times,register_days,playing_hours,best_weapon,best_weapon_heatshot,best_map
XXXFangtasia,None,76561199017173003,作弊封禁,2020-03-12,Inf,13,None,None,AK47,0.26,mirage
伪善๑`н´๑,None,76561199028234104,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
yaxinCSgo,None,76561199030118165,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
dada2020,None,76561199031169848,作弊封禁,2020-03-12,Inf,2,None,None,M4A4,0.75,None
年轻人.douyutvcw666,None,76561198984175651,作弊封禁,2020-03-12,Inf,2,None,None,None,None,None
电脑玩家白给贼6,None,76561199031648512,作弊封禁,2020-03-12,Inf,0,None,None,AWP,0.00,None
冷·眸,Vip,76561199027211905,作弊封禁,2020-03-12,Inf,9,None,None,AWP,0.08,mirage
SeanKes,Vip,76561198965008559,作弊封禁,2020-03-12,Inf,5,None,None,AK47,0.29,mirage
韭菜大哥,Vip,76561198167642621,作弊封禁,2020-03-12,Inf,2,None,None,None,None,None
不常规大师guoguo,None,76561198827672683,作弊封禁,2020-03-12,Inf,3,None,None,None,None,None
扛着大狙向前冲,Vip,76561199023038623,作弊封禁,2020-03-12,Inf,6,None,None,AK47,0.58,None
奇怪的奶泡,None,76561199031465438,作弊封禁,2020-03-12,Inf,3,None,None,None,None,None
刘飘,None,76561199028678228,作弊封禁,2020-03-12,Inf,1,None,None,None,None,None
炸鱼123987,None,76561199031650574,作弊封禁,2020-03-12,Inf,7,None,None,None,None,None
安图恩爆殺弗曼,None,76561199013259517,作弊封禁,2020-03-12,Inf,1,None,None,None,None,None
都给我闭嘴-,None,76561199030967153,作弊封禁,2020-03-12,Inf,4,None,None,AK47,0.72,None
嫌疑人-97,None,76561199032826664,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
是吧啊sir,None,76561199030705008,作弊封禁,2020-03-12,Inf,5,None,None,None,None,None
还真就一枪头呗,None,76561199030867710,作弊封禁,2020-03-12,Inf,1,None,None,AK47,0.15,None
忘忧sama,None,76561198969168913,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
打他个肚皮长天,None,76561199030966299,作弊封禁,2020-03-12,Inf,3,None,None,None,None,None
-xIaoZHang,Svip,76561198807830513,作弊封禁,2020-03-12,Inf,37,274,163,None,None,None
553の人柱力,Svip,76561198255777078,作弊封禁,2020-03-12,Inf,25,125,142,None,None,None
我起了又四枪秒了,None,76561199029807860,作弊封禁,2020-03-12,Inf,53,None,None,AK47,0.74,inferno
电脑玩家Jima,None,76561199025602332,作弊封禁,2020-03-12,Inf,5,None,None,None,None,None
你的号我拿去开了,None,76561199032675775,作弊封禁,2020-03-12,Inf,1,None,None,None,None,None
aka小虎857,None,76561198452833949,作弊封禁,2020-03-12,Inf,4,None,None,None,None,None
w1730316180.,None,76561199023764186,作弊封禁,2020-03-12,Inf,3,None,None,None,None,None
Frisk-_-,None,76561198406772313,作弊封禁,2020-03-12,Inf,1,None,None,None,None,None
电脑玩家爱琪,None,76561198126445373,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
天宇你怕吗,None,76561199007781754,作弊封禁,2020-03-12,Inf,40,None,None,AK47,0.43,mirage
无敌大王薛九斤,None,76561198421141901,作弊封禁,2020-03-12,Inf,33,None,None,AK47,0.41,inferno
iobnzm_nd,None,76561199024132649,作弊封禁,2020-03-12,Inf,46,None,None,AWP,0.13,inferno
IllIlIlIIIllllIIIlllIIIl,None,76561199030195224,破坏游戏秩序,2020-03-12,2020-03-19,20,None,11,AK47,0.33,None
古鱼,None,76561198437089529,作弊封禁,2020-03-12,Inf,4,None,None,P90,0.33,dust2
Zierrain,None,76561199029109101,作弊封禁,2020-03-12,Inf,2,None,None,AK47,0.63,None
xhhpf0108,None,76561198830815540,作弊封禁,2020-03-12,Inf,9,None,None,AK47,0.51,mirage
丄天十连跪,Svip,76561198447815171,作弊封禁,2020-03-12,Inf,9,44,71,None,None,None
Autism222,None,76561199031294497,作弊封禁,2020-03-12,Inf,1,None,None,SG 553,0.42,None
XoPk0x,None,76561199026756059,作弊封禁,2020-03-12,Inf,30,None,None,Bizon,0.31,None
1162828940,None,76561198112093897,作弊封禁,2020-03-12,Inf,5,None,None,AWP,0.09,None
Neymarchen,None,76561198998826315,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
※蜻蜓队长,None,76561199030221113,作弊封禁,2020-03-12,Inf,18,None,None,M4A4,0.54,None
Kennys;;,None,76561199032316229,作弊封禁,2020-03-12,Inf,6,None,None,AK47,0.87,None
要狙就得大点声,None,76561199030424990,作弊封禁,2020-03-12,Inf,2,None,None,AK47,0.26,None
Parade-DX,Svip,76561199028867097,作弊封禁,2020-03-12,Inf,19,18,53,None,None,None
云岩第一狙击手,Svip,76561198842868189,作弊封禁,2020-03-12,Inf,9,511,375,None,None,None
mao7637,None,76561199033096096,作弊封禁,2020-03-12,Inf,1,None,None,None,None,None
