name,player_type,steam_id,reason,banned_time,release,complaint_times,register_days,playing_hours,best_weapon,best_weapon_heatshot,best_map,score
Darling呀ღ,None,76561198976945322,作弊封禁,2020-03-16,Inf,15,None,None,AWP,0.12,mirage,1080
炽念,None,76561198985207868,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
kana_momonogi,None,76561199032413956,作弊封禁,2020-03-16,Inf,9,None,None,None,None,None,
你TM叫夏洛呀,None,76561199032843780,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
Xxxqiuqiutacion,None,76561199031279668,作弊封禁,2020-03-16,Inf,0,None,None,AK47,0.27,None,
番薯b,None,76561199026884995,作弊封禁,2020-03-16,Inf,50,None,None,AK47,0.35,dust2,
TeresaLittle,None,76561199032373842,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
你是鸡脖怪,None,76561198308406238,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
fute060310,None,76561199026300530,作弊封禁,2020-03-16,Inf,10,None,None,MP9,0.47,dust2,1446
小轩爱过,Vip,76561199027888996,作弊封禁,2020-03-16,Inf,16,None,None,AK47,0.45,inferno,1527
虎牙直播老七,None,76561199032862958,作弊封禁,2020-03-16,Inf,0,None,None,AWP,0.25,None,
Amo丶4,None,76561199032260209,作弊封禁,2020-03-16,Inf,8,None,None,AK47,0.74,None,803
Aluseawa.,None,76561199029686971,作弊封禁,2020-03-16,Inf,0,None,None,Galil,0.40,None,
茄式狙击手,None,76561199033074538,作弊封禁,2020-03-16,Inf,2,None,None,None,None,None,
sd491502,Vip,76561198158143626,作弊封禁,2020-03-16,Inf,10,None,None,P90,0.28,dust2,
"hi,你的益达",None,76561199028252634,作弊封禁,2020-03-16,Inf,0,None,None,AK47,0.79,None,
别指挥能赢,Vip,76561199031419699,作弊封禁,2020-03-16,Inf,1,None,None,XM1014,0.48,None,1402
人体描边大师-。=,None,76561199033836414,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
Sprite..,None,76561199032390263,作弊封禁,2020-03-16,Inf,7,None,None,AK47,0.55,None,
暴躁少年郭德纲,None,76561199033625242,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
我是五一呀,None,76561198976458227,作弊封禁,2020-03-16,Inf,9,None,None,AK47,0.33,mirage,2126
恐馁跃且,None,76561199025397310,作弊封禁,2020-03-16,Inf,13,None,None,Desert Eagle,0.86,None,
HwaS1n,None,76561198961493708,作弊封禁,2020-03-16,Inf,4,None,None,AK47,0.43,mirage,2165
打不过敌人,None,76561199027119669,作弊封禁,2020-03-16,Inf,1,None,None,None,None,None,
保护二次元！,Vip,76561199026042239,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
shtlrim0696889,None,76561199030679119,作弊封禁,2020-03-16,Inf,6,None,None,None,None,None,
我是菜B中的菜B,None,76561199028458270,作弊封禁,2020-03-16,Inf,10,None,None,None,None,None,
juv65s,None,76561199029853718,作弊封禁,2020-03-16,Inf,19,None,None,AK47,0.34,None,2064
我爱旺仔啊啊啊,None,76561198848437942,作弊封禁,2020-03-16,Inf,5,None,None,None,None,None,
GhostGod7,None,76561198876130135,作弊封禁,2020-03-16,Inf,2,None,None,None,None,None,
今天对面开了吗,None,76561199034023375,作弊封禁,2020-03-16,Inf,5,None,None,None,None,None,
不要再演我了,None,76561199032291900,作弊封禁,2020-03-15,Inf,44,None,None,Bizon,0.64,None,
enb¿,None,76561199032428264,作弊封禁,2020-03-15,Inf,6,None,None,AK47,0.72,None,
爆头机器Yeezy,None,76561198367839400,作弊封禁,2020-03-15,Inf,5,None,None,AWP,0.07,None,
simple.l,None,76561198298531142,作弊封禁,2020-03-15,Inf,15,None,None,AWP,0.11,dust2,1255
